ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000007320	101111241	BLNK	B cell linker	-1.3856810578051	-1.59215102780199	-1.50996171056458	0.0156119229452437	0.00677456786234243	0.00977652947449052
ENSOARG00000007374	101105263	SPHK1	sphingosine kinase 1	-1.24948516816833	-2.41465201831187	-1.20830474543669	0.0104430967122055	7.37182857258105e-05	0.0143297508602226
ENSOARG00000007382	101112348	SDS	serine dehydratase	2.8870978799718	2.19006177243769	3.08077935830662	1.01189741355953e-05	8.00719143162657e-05	6.86665754402186e-06
ENSOARG00000007393	101102810	NDST1	N-deacetylase and N-sulfotransferase 1	-1.0112097464063	-1.59664574949185	-0.947623307332337	0.00127694222318958	1.36606600005297e-05	0.00331914644152332
ENSOARG00000007394	101104090	ARHGEF17	Rho guanine nucleotide exchange factor 17	-1.22472892393872	-1.48894177379954	-1.15022990795614	0.000875576045308509	0.000159949565935229	0.00182852308859245
ENSOARG00000007426	101102082	B9D2	B9 domain containing 2	-1.32500601785413	-1.59059298905584	-1.39579794860317	0.0044004592937704	0.00108448881508975	0.00301931099458202
ENSOARG00000007427	101123642		epithelial stromal interaction 1	1.97909700043841	1.4422390392101	1.87590518505208	0.00171446304912672	0.0171548965011863	0.00263998259720587
ENSOARG00000007472	443031	CASP3	caspase 3	1.10199762854348	1.46485781860867	1.0237360628986	0.010807751255037	0.00078289074683585	0.0227249482771833
ENSOARG00000007483	101103676	INF2	inverted formin, FH2 and WH2 domain containing	-1.19171343703145	-1.82099459364645	-1.19897769601036	0.00257155950915052	6.73825917820116e-05	0.00247008591061376
ENSOARG00000007491	101109443	HSD11B1L	hydroxysteroid 11-beta dehydrogenase 1 like	-1.14854380244132	-1.57335649531949	-1.15847343626478	0.0223759631459982	0.00227897827920439	0.0223327929139175
ENSOARG00000007493	101123162	DHCR24	24-dehydrocholesterol reductase	-0.887499696576571	-1.06528199118479	-0.962130574830152	0.0308645053587426	0.00391782429314477	0.0132422269740765
ENSOARG00000007502	780520	NFKBIA	NFKB inhibitor alpha	2.52000471657471	2.65417203930313	2.4597315207062	1.06980969479492e-06	8.02390684369021e-07	1.18140553553009e-06
ENSOARG00000007573	101109491	TAP2	transporter 2, ATP binding cassette subfamily B member	1.95231242155916	1.31945671360968	2.04731821529257	0.000713650949479956	0.0142233416664299	0.00051320176903823
ENSOARG00000007577	101114273	ZBTB49	zinc finger and BTB domain containing 49	1.06754290957402	0.910277710594462	0.96749755139736	0.00240023986250743	0.0173536695728635	0.00850258362379077
ENSOARG00000007591	101107699	NLRP3	NLR family pyrin domain containing 3	2.69578069071979	3.12225832897473	2.72348883884911	9.10699502335034e-05	4.04060506903561e-05	8.51563657271639e-05
ENSOARG00000007592	443460	PTGS2	prostaglandin-endoperoxide synthase 2	4.88847039834187	4.38332883908416	4.98475904057303	0.00044214011860037	0.000828422305175937	0.000410563297757087
ENSOARG00000007605	101120014	FNBP4	formin binding protein 4	1.71906021266112	1.5601982903777	1.64805975054848	5.67009203766094e-05	0.000138769488871717	8.14613032187042e-05
ENSOARG00000007637	101107740	LMCD1	LIM and cysteine rich domains 1	-3.18241742145747	-4.36410017189751	-2.93659709957815	0.000431667011661009	8.67470625287561e-05	0.000720463060645655
ENSOARG00000007683	101111722	CXCL16	C-X-C motif chemokine ligand 16	1.75586227181012	1.14134909340689	1.77618993877361	6.53130574877796e-05	0.0033785655920609	6.3461180873573e-05
ENSOARG00000007713	101121165	NAB2	NGFI-A binding protein 2	-1.11981213619659	-1.71140011762531	-1.01724427129318	0.0172602095572837	0.000570087242941692	0.0407919688624918
ENSOARG00000007738	101115580	TAP1	transporter 1, ATP binding cassette subfamily B member	2.3954995983362	2.21074470569848	2.44181012107327	9.53253733655773e-05	0.000184604438246907	8.31614430715387e-05
ENSOARG00000007751	101110140	IFFO1	intermediate filament family orphan 1	-1.659642844913	-1.64690494874785	-1.51251579253313	0.000125270732277643	0.000137634738069174	0.000291714821962284
ENSOARG00000007771	101104121	SEMA4D	semaphorin 4D	-2.09798023907111	-2.37742431337529	-2.37471987651787	0.000108507357803532	5.22633720517541e-05	4.71718801091717e-05
ENSOARG00000007775	442999	AQP1	aquaporin 1 (Colton blood group)	-1.58378869353197	-2.41495346059816	-1.45725084612851	0.000777239687419691	3.59346684201883e-05	0.00148538456230449
ENSOARG00000007797	101112493	ARRB2	arrestin beta 2	-2.13988702436329	-2.42994400561722	-2.18366371482933	0.000594522352500969	0.000270427830572654	0.00053004295437158
ENSOARG00000007814	101105303	SYK	spleen associated tyrosine kinase	-1.5479468797701	-1.71224405674679	-1.72052334473699	0.000420855182113994	0.000183212381329347	0.000176224276504972
ENSOARG00000007866	101115834	PSMB9	proteasome subunit beta 9	2.21074528474575	1.71417629289518	2.25131113211139	0.000734062619485898	0.00538453518276914	0.000659140640665567
ENSOARG00000007893				-1.01904382256742	-1.05193261977862	-1.0502590256132	0.0380153312382001	0.0300761779970579	0.0315786074798004
ENSOARG00000007934	101104909	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	3.52634393374708	2.28144622067911	3.47649205292408	0.000584005702669874	0.016307648985848	0.000644125885497562
ENSOARG00000007947		TMEM178A	transmembrane protein 178A	-1.44833749991269	-2.473821262086	-1.71586004349835	0.0394947018934354	0.00203110768563305	0.0180837814049624
ENSOARG00000008014	101104584	LRCH1	leucine rich repeats and calponin homology domain containing 1	1.27939562253951	1.09375709305216	1.19891661138001	0.002292292218603	0.010773032601315	0.00445233385683117
ENSOARG00000008016	101104657	TNIP1	TNFAIP3 interacting protein 1	1.8300805435357	1.3299284700361	1.79189096526473	0.000324204577670476	0.00425291494269621	0.000402612298450249
ENSOARG00000008020	101102508	ERF	ETS2 repressor factor	-1.17646919012626	-1.85159486347484	-1.01251173595247	0.00100175701703733	2.14729154248962e-05	0.00613224965569856
ENSOARG00000008034		MAF	MAF bZIP transcription factor	-2.01770294966716	-1.7383439116326	-2.19509231891041	0.000147956180993825	0.000484555235972645	8.88892619291492e-05
ENSOARG00000008099	101108327	SAMD11	sterile alpha motif domain containing 11	-1.99341756976523	-1.61776187507057	-1.85264522089326	0.000963671535594913	0.00472525222555809	0.001791959006928
ENSOARG00000008126	101115854	FAM149A	family with sequence similarity 149 member A	-1.03966091020137	-1.0525776149344	-1.32157533866335	0.00960191180606633	0.00839603367101598	0.000864824643440987
ENSOARG00000008133	443018	HTR2A	5-hydroxytryptamine receptor 2A	2.20668126903186	1.66222368013376	2.29975310277736	0.000323091604628078	0.00342935482091991	0.000237021243001773
ENSOARG00000008136	101107410	SUSD3	sushi domain containing 3	-2.85500624247594	-3.10820230212831	-2.39244256994382	0.00396337722848904	0.00244403478589676	0.0100008645698176
ENSOARG00000008140	101104938		protein AHNAK2	-1.63363991906776	-2.6516109578709	-1.74399663941628	6.44906265286437e-06	1.86421952925298e-07	3.651248128329e-06
ENSOARG00000008143	101120499	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A	-1.06058305931509	-1.38672569527379	-1.07922640425107	0.0376311888793554	0.00467543041053179	0.0349399070173514
ENSOARG00000008161	101107664	FGD3	FYVE, RhoGEF and PH domain containing 3	-2.04660558445782	-2.41523296970975	-2.02205473647781	0.0135229888657359	0.00513088915327835	0.0151439664373387
ENSOARG00000008258	101107810	RGS19	regulator of G protein signaling 19	-1.57875509567161	-1.7888538848956	-1.64397181024176	0.00187645528583327	0.00069477034663674	0.00141646791478886
ENSOARG00000008330	101122350	WDR91	WD repeat domain 91	-2.22380767318916	-1.54806500285304	-2.17823008373079	6.44906265286437e-06	0.000123499643654826	7.63739020375551e-06
ENSOARG00000008333	443540	TNF	tumor necrosis factor	4.78389137809148	5.27145556728739	4.78124629392993	1.21677273138061e-06	8.02390684369021e-07	1.18509537755428e-06
ENSOARG00000008340	101118711	TBX21	T-box 21	6.1245625205301	2.64923216246043	6.12538194003243	3.82148264665692e-05	0.0396527699236012	3.94329611867405e-05
ENSOARG00000008349		TACSTD2	tumor associated calcium signal transducer 2	1.80409832533092	1.43457675007863	1.68690499919696	0.0028195466534326	0.0142831581167143	0.00483717620928052
ENSOARG00000008357	101117649	STAM2	signal transducing adaptor molecule 2	1.19946967824129	1.04033893598073	1.07148465429685	0.00218064159665487	0.00990747441907491	0.00744818383306416
ENSOARG00000008369	443232	CD40	CD40 molecule	2.91773762463126	2.55160427053329	2.92896511109249	3.10717730183034e-05	8.1273057226563e-05	3.17600457271437e-05
ENSOARG00000008401	101120603	PARP8	poly(ADP-ribose) polymerase family member 8	1.8862836685233	1.24118203669117	1.82987900511218	6.02410034593106e-06	0.000254858138422207	7.63739020375551e-06
ENSOARG00000008430	101121705	JAML	junction adhesion molecule like	-1.66682392231689	-2.4361777450841	-1.75544830492	0.01175835093426	0.000967120889302471	0.00909068095810673
ENSOARG00000008451	100913167	PRR15	proline rich 15	2.94810850075382	2.58955593423228	3.08065209672504	0.000749341546396294	0.00217714496538663	0.000536487937410224
ENSOARG00000008521	101113847		SHC adaptor protein 2	-0.961772103340515	-1.77020031585746	-0.998672122985619	0.0329135739829981	0.000164896556639319	0.024339763541333
ENSOARG00000008524	101104140	PTGES	prostaglandin E synthase	2.86959904944357	2.46623743333579	3.05124177204674	0.000218228965329326	0.000733089311166287	0.000147360125156949
ENSOARG00000008597	101123121	SGMS2	sphingomyelin synthase 2	1.36967461671527	1.74584297104339	1.1824938634305	0.00238604146187864	0.000336008037764827	0.00926534211047665
ENSOARG00000008614	101105772	PHLDB3	pleckstrin homology like domain family B member 3	2.05304807814046	1.09634679582074	2.06053089880727	6.59596038439271e-05	0.0170771047575476	6.76842453245452e-05
ENSOARG00000008621				-1.47775849396181	-2.01070639065645	-1.29545615186534	0.000941881964840481	8.67470625287561e-05	0.00297637968146815
ENSOARG00000008628				1.7035705811941	1.32380234063009	1.66725012239667	0.0001271867652224	0.00114141884651878	0.000159592037052484
ENSOARG00000008656	101109631	FBLIM1	filamin binding LIM protein 1	-1.02206038043077	-2.31413776603362	-0.913572385564684	0.0157900800275494	1.68332649963289e-05	0.0485152376844793
ENSOARG00000008659	101118671	NEB	nebulin	1.58602423384015	1.33970707073826	1.53306431027067	0.000347816950349627	0.00140784466190334	0.000475057623580049
ENSOARG00000008693	101119259	CISH	cytokine inducible SH2 containing protein	4.00540153881861	3.82952547513482	3.91450633558348	3.26794570813205e-06	5.11571070913611e-06	3.89208296527908e-06
ENSOARG00000008702	101121820	LOC101121820	cytochrome P450 2J2-like	2.73043119429089	1.62579618446704	2.60256713999799	0.000275336823185354	0.0130109572267731	0.000407950657278405
ENSOARG00000008705	101121880	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	-1.18092434860978	-1.49721042599578	-1.17995838659946	0.0136080682350978	0.00197955031560265	0.0140207544775166
ENSOARG00000008707	101111016	TICAM1	toll like receptor adaptor molecule 1	1.50485654503392	2.16763328310221	1.58191617647338	0.000137380897067133	7.69797251925777e-06	8.97464655394494e-05
ENSOARG00000008734	101113364	TPCN1	two pore segment channel 1	-1.10552512269462	-1.02941495005636	-1.40398484061625	0.00222107470065664	0.00503101931486992	0.000197313926877606
ENSOARG00000008746	101103290	SAMD8	sterile alpha motif domain containing 8	1.88067916437891	1.66256145171136	1.78585918864873	0.00150412494692511	0.00424975322822933	0.00237435468124496
ENSOARG00000008834	101117117	HSPA1L	heat shock protein family A (Hsp70) member 1 like	-1.4094561488092	-1.84763017568474	-1.50682908839578	0.00415115468208115	0.000591045823902919	0.0026821879333033
ENSOARG00000008856	101106799	FBXO33	F-box protein 33	2.42565278256908	1.83396979411168	2.24300918615948	2.54483684629715e-05	0.000243731406180245	4.71718801091717e-05
ENSOARG00000008867	100302564	PLAUR	plasminogen activator, urokinase receptor	1.31609506846289	1.21181036825511	1.23181308895542	0.000165278696495008	0.000426560482865981	0.000345873799901053
ENSOARG00000008893	678672	SLAMF1	signaling lymphocytic activation molecule family member 1	4.39494942389247	3.9691783333082	4.23499109292983	9.90775853099203e-06	2.41183025689162e-05	1.31558319036611e-05
ENSOARG00000008956		OCSTAMP	osteoclast stimulatory transmembrane protein	2.27592211183888	2.2300105119285	2.46632058147212	0.000596491174522179	0.000681895778764593	0.000330002647069875
ENSOARG00000008967	101121221	SLAMF7	SLAM family member 7	2.24379114093654	1.56375498817445	2.2302760223569	7.80175497792845e-05	0.00145224283851503	8.26697970186666e-05
ENSOARG00000009019	101119185	TNFAIP6	TNF alpha induced protein 6	3.93079297334947	2.41906574380938	3.82753894539146	0.000177724013459986	0.00424406261989962	0.000219222246951638
ENSOARG00000009082	101118040	SLC13A3	solute carrier family 13 member 3	2.30189371344466	1.34953477482918	2.25400993317711	0.000234063212283725	0.0184409654379828	0.000307956005584293
ENSOARG00000009091	101103186	SMTN	smoothelin	-1.07559340725131	-1.05141114019349	-1.06726722450351	0.0038957897744064	0.0049421759856236	0.00436731321496746
ENSOARG00000009096	101118923	MTUS1	microtubule associated scaffold protein 1	-1.92478645982146	-1.66152802268582	-2.1280163662569	0.0101190417798184	0.0246586828190422	0.00547797191634171
ENSOARG00000009103	101119445	NMI	N-myc and STAT interactor	2.34891298260749	1.46597922328443	2.25199162952441	0.000268605591626612	0.00952231081731303	0.000382114915933862
ENSOARG00000009145	101111585	B3GALT4	beta-1,3-galactosyltransferase 4	-1.3171661510371	-1.51105865197757	-1.46769897366783	0.00376660021476385	0.00123702940930986	0.00163679513130653
ENSOARG00000009176	101110963		poliovirus receptor	2.58248162083901	2.84347659167475	2.63942691211544	0.00860886900348612	0.00472896105395385	0.00767453956495001
ENSOARG00000009199	101119882	RBM43	RNA binding motif protein 43	2.09765725680105	1.46163380362318	2.01477014589087	0.000127830489166562	0.00251788718289299	0.000183236809455762
ENSOARG00000009205	101102378	CDA	cytidine deaminase	3.32487258436679	4.01955682231416	3.37202045760696	1.21677273138061e-06	3.55985149954551e-07	1.18140553553009e-06
ENSOARG00000009241	101119572	CCL8	C-C motif chemokine 8	3.55346634633241	1.8490325867086	3.25690745422134	0.000258974687770424	0.019869092279553	0.000459275132704291
ENSOARG00000009303	101110451	OTUD4	OTU deubiquitinase 4	1.54572726191131	1.01195364730363	1.51679368966181	0.000244999824622357	0.0146246702732225	0.000308288554264866
ENSOARG00000009325	101119148	UNC13D	unc-13 homolog D	-1.13678378931686	-1.96733978906408	-1.34277606833498	0.00476978464877178	4.90325738434203e-05	0.000940931349125858
ENSOARG00000009330	101121152	LYPD6	LY6/PLAUR domain containing 6	-1.87657773113094	-2.11729887684135	-2.01582447236476	0.0415599583401864	0.0252466582303798	0.033342654434709
ENSOARG00000009334	101101952	UBAP1	ubiquitin associated protein 1	1.11544514400236	1.28112886184598	1.0460982336792	0.00532497028301384	0.00123841194558552	0.0106036166566964
ENSOARG00000009386	101120049	VPS37A	VPS37A, ESCRT-I subunit	1.06860788894441	0.850818288079127	1.09187378823732	0.00139789381650631	0.0277510778723074	0.00109862487740076
ENSOARG00000009399	101123168	ARHGAP30	Rho GTPase activating protein 30	-1.53089293323311	-2.3000645880323	-1.67453116870274	0.0100966053781839	0.000569907427120534	0.00599125715401542
ENSOARG00000009419	101115146		zinc finger MYND-type containing 8	-0.986475582073564	-1.48432079449016	-0.905128845034047	0.00545692998117375	7.71423821195953e-05	0.0160573345287784
ENSOARG00000009431	101104604	DAB2	DAB2, clathrin adaptor protein	-1.12970259519917	-0.968690900833047	-1.24768051495343	0.00450277437208834	0.0224033796809951	0.00163679513130653
ENSOARG00000009440	101118145	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	-1.15070565082575	-1.14456920830429	-1.5514602157331	0.00539251953092401	0.00558106844036109	0.000435925893062974
ENSOARG00000009454		LYL1	LYL1, basic helix-loop-helix family member	-2.0180922749885	-2.85049604613296	-2.12086047208558	0.000622289246304874	6.83927979459558e-05	0.000453779699277421
ENSOARG00000009498	101118312	NFKBIE	NFKB inhibitor epsilon	1.06547997853482	1.17333663430942	0.958216444841689	0.00607624780759264	0.0020861760131534	0.0197776881276267
ENSOARG00000009500	101118493	SMNDC1	survival motor neuron domain containing 1	1.07952951173949	1.05485337599408	1.03335993045301	0.00193494055081119	0.00251043292182423	0.00341043272845476
ENSOARG00000009537		DUSP5	dual specificity phosphatase 5	2.70220851816197	2.79235274706446	2.60798293234742	3.70116757877786e-06	4.02655837577979e-06	4.6845969950796e-06
ENSOARG00000009545		RELB	RELB proto-oncogene, NF-kB subunit	1.12613646283814	1.26257712845753	1.08321476665154	0.000190538284213383	6.07767470042709e-05	0.000341659329786446
ENSOARG00000009555	101108931	H3F3B	H3 histone, family 3B	1.12632296465653	1.36871789763124	1.01968669220043	0.00311927521163121	0.000444602033668355	0.00960528399917309
ENSOARG00000009559		TMEM151B	transmembrane protein 151B	2.94621406261059	2.90269678596831	3.23707694352563	0.00625028762810487	0.00669400011438877	0.00319318610262345
ENSOARG00000009611	101104133	LOC101104133	myc box-dependent-interacting protein 1-like	-0.903998798693724	-0.808972570218209	-0.889046272147311	0.0111126036242815	0.0469908720372503	0.0143743783267958
ENSOARG00000009641		HDAC9	histone deacetylase 9	-1.26633849153552	-2.46712677282844	-1.71883842602102	0.0155147638877622	0.000137634738069174	0.00190516186977554
ENSOARG00000009686	101106565	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	5.07054957948771	5.04932789311854	4.82611031089643	1.54417404416098e-06	1.5594817978205e-06	2.09018567993745e-06
ENSOARG00000009693	101114648	FOXP1	forkhead box P1	1.4247901859252	0.878186342464922	1.36618079434852	0.000124795648190467	0.0287331945943713	0.000183236809455762
ENSOARG00000009727				1.03022592174634	0.993245659893215	1.12538369289008	0.00787426727416423	0.0119785455629663	0.00296860337478915
ENSOARG00000009733	101110843	RELL1	RELT like 1	1.31713793275692	1.4873496778616	1.33551944061981	0.00507545707691486	0.00186560629662932	0.00457687432786825
ENSOARG00000009740	101121673	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	2.36257800451381	1.37468246648441	2.31153262669627	0.000382740418516899	0.0197994148380435	0.000456437224967062
ENSOARG00000009749	101118035	PLCD3	phospholipase C delta 3	-1.72382180560974	-1.33537898284119	-1.51910703449662	0.000428985616184126	0.00295891667085468	0.00116967759540822
ENSOARG00000009794	101108481	DGKI	diacylglycerol kinase iota	-1.41971117625947	-1.93962327893857	-1.51262108988634	0.0193243147321015	0.00281519918430338	0.0147312208998213
ENSOARG00000009823	101122253	ORC4	origin recognition complex subunit 4	1.19797129066288	1.14363627659206	1.18423754652006	0.00262766484320819	0.00429616957443106	0.0030099551479339
ENSOARG00000009837	101111285	PGM2	phosphoglucomutase 2	2.16663488705436	1.17146268254498	2.05771970140768	2.75105314150003e-05	0.0053611784538981	4.25485336629486e-05
ENSOARG00000009865	101120613	LOC105601867	serum amyloid A-4 protein	2.67866933462028	2.44371235871917	2.76246951535377	0.000550190753023271	0.00104940154533811	0.000464558305877409
ENSOARG00000009887	101113976	CHST15	carbohydrate sulfotransferase 15	-1.15984311429145	-1.26725875073758	-1.12139526629047	0.0324514865482389	0.0175012412653794	0.0432129521373565
ENSOARG00000009901	101113127		PEAK1 related, kinase-activating pseudokinase 1	-1.38623262113981	-1.89179260498177	-1.13849297545912	0.00445130242384783	0.000433299603848996	0.0215257972164311
ENSOARG00000009918	101119284	DOCK5	dedicator of cytokinesis 5	-1.2110691704183	-1.0959898641211	-1.04538920848552	0.00415198577157279	0.0107881888079576	0.017360688850792
ENSOARG00000009936	101106936		homer scaffold protein 3	-1.1848192522881	-1.53588012135727	-1.23511643951389	0.000625714212154631	6.32057806022891e-05	0.000414825516169335
ENSOARG00000009938	101101867	KYNU	kynureninase	2.39505166742972	1.47272940120593	2.29724537959325	5.67132814990822e-05	0.00260966979522788	7.69795574938639e-05
ENSOARG00000009963	101121216	LOC101121216	serum amyloid A protein-like	2.90464280673604	2.64196082108116	2.96183778848109	0.000118540556262289	0.000242407915254719	0.000105165830300104
ENSOARG00000009970	101115232	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	-2.25570296063866	-1.97858370389701	-2.76429554530709	0.000945389990476657	0.00221873070497825	0.000317524712961643
ENSOARG00000009988	101108527	ANKRD13D	ankyrin repeat domain-containing protein 13D	-1.16881514938742	-1.19303074393105	-1.20684806499008	0.00435561285337616	0.00343932560545084	0.00327074160411707
ENSOARG00000010042	101112949	STC1	stanniocalcin 1	2.6274337318202	1.60406006372074	2.76698623020259	5.22075543824369e-05	0.00342935482091991	3.72751815378951e-05
ENSOARG00000010071	101113199	NKX3-1	NK3 homeobox 1	2.03977046663747	2.94701903617277	2.17642196364812	0.00224144514600936	0.000100186057192164	0.00133263804414981
ENSOARG00000010077	101106745	ARMCX1	armadillo repeat containing X-linked 1	-0.974663134018892	-0.913359074913622	-1.00500754199903	0.0124895413590719	0.0257721111510253	0.00922744960920575
ENSOARG00000010098	101112230	CDC40	cell division cycle 40	2.0009166191254	1.66969082564349	1.9215418406934	1.48856255213792e-05	7.3850574081866e-05	2.0775551361317e-05
ENSOARG00000010111	101106998	LOC101106998	protein ARMCX6	-1.31597662729685	-1.82023372012782	-1.27335776128389	0.000669766942312462	5.12718849974074e-05	0.000943921940778862
ENSOARG00000010116	101112169	ARRDC4	arrestin domain containing 4	1.18042173848677	1.44233072055943	1.3008394323101	0.00131741110456904	0.000194894798521293	0.000491465944473962
ENSOARG00000010122	100147791	DIRAS3	DIRAS family GTPase 3	-1.81168010447923	-2.11137007038736	-1.55538824026412	0.00243693716120844	0.000818038228784886	0.00663902444565514
ENSOARG00000010177	101120338	MED30	mediator complex subunit 30	1.92639263009575	1.93182668273209	1.79677760911609	0.000560995115663259	0.000563501644607895	0.00102778541503783
ENSOARG00000010182	101107445	TAPT1	transmembrane anterior posterior transformation 1	1.43212610554946	1.07923041603432	1.32153421578226	0.000345375540979063	0.0059276281979639	0.000710980844785829
ENSOARG00000010205	101118824	CDC5L	cell division cycle 5 like	1.28066580229043	1.21906059070127	1.30260060274198	0.000551485749581592	0.00090697861216794	0.000478862745895573
ENSOARG00000010215	101113702	RGMA	repulsive guidance molecule BMP co-receptor a	-1.74162896791096	-2.02359918914639	-1.98766358966206	0.00469783919681798	0.00151603052399051	0.00200940410205358
ENSOARG00000010224	101106622	POLD3	DNA polymerase delta 3, accessory subunit	1.67067944541458	1.07855737672278	1.60684106158154	0.000237490486564235	0.0132160066349344	0.000358085883971072
ENSOARG00000010233	101111441	ESYT1	extended synaptotagmin 1	-0.98195874179524	-1.54168111999288	-0.918017568991081	0.00238040003189136	2.14729154248962e-05	0.00621614356662222
ENSOARG00000010264	101114752	PDLIM2	PDZ and LIM domain 2	-1.62538447806772	-1.64717680244846	-1.67089771460398	0.000427292086004141	0.000390102421355399	0.000346269790977353
ENSOARG00000010283	443146	MX1	MX dynamin like GTPase 1	2.60951964494296	1.87237619895581	2.51513167619636	0.000913507247071181	0.00999095458820795	0.00122361428885003
ENSOARG00000010319	101101969	RASGRP3	RAS guanyl releasing protein 3	-1.71109283730453	-2.76536875159903	-1.85431520606558	0.00156856202886537	6.25399585194758e-05	0.00089228484436747
ENSOARG00000010324	101116017		solute carrier family 39 member 14	1.981462657214	1.89784302954072	1.98329903846178	0.000397197151961657	0.000585213972126952	0.000408342624517326
ENSOARG00000010353	101102876	HNMT	histamine N-methyltransferase	-1.21508827636524	-1.8227923455191	-1.23047090314943	0.00611861596124884	0.000227770204072227	0.00563205660144991
ENSOARG00000010373	101113940	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	-1.04256482402419	-2.01017786523524	-0.993959321858723	0.00403694735294911	1.05365163639562e-05	0.00732684555065136
ENSOARG00000010426	443034	SFTPC	surfactant protein C	5.54669560450518	7.20792628119239	5.36348011262227	5.31901597884114e-05	6.14032967201021e-06	7.63658048355708e-05
ENSOARG00000010432	101119688	PDCD4	programmed cell death 4	-0.997308825100629	-0.891495778212559	-0.871633244946158	0.00936105028405371	0.0333452298940905	0.0423129480790241
ENSOARG00000010458		BATF3	basic leucine zipper ATF-like transcription factor 3	3.52111768987401	2.11677083313637	3.39158833277175	1.60226710958416e-05	0.000781092027918187	2.10221333773214e-05
ENSOARG00000010460	101110559	KCTD7	potassium channel tetramerization domain containing 7	-1.71637876905914	-1.52327198367169	-1.14982257921145	0.000739746549316401	0.00165231201511202	0.0161145094372233
ENSOARG00000010462	443532	CXCR4	C-X-C motif chemokine receptor 4	-2.03662511748794	-2.08352957730887	-2.02751420243557	0.00197476662497898	0.0017379436455869	0.00207339318459932
ENSOARG00000010481				4.91098207140946	5.18213491441029	4.66180976347734	0.000241699552819467	0.000157854310648126	0.000410563297757087
ENSOARG00000010489	101115961	CNN2	calponin 2	-0.957986026540015	-2.13060718695279	-0.949768078178048	0.0105884124270306	6.23804587629477e-06	0.0122682828257781
ENSOARG00000010493	101116073	ATF3	activating transcription factor 3	2.18659521086859	2.3288510633318	2.14954562331107	0.00245347402110033	0.00159377627408917	0.00282808285055286
ENSOARG00000010521	101111757	PDE4B	phosphodiesterase 4B	2.90865102765266	1.96288837305624	2.7562780126678	0.000332958504636508	0.00568845351714162	0.000491465944473962
ENSOARG00000010541	101122960	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	-1.39949269645963	-1.77515437729406	-1.34131476787896	0.000610785148096409	9.40333215077021e-05	0.000912301503745734
ENSOARG00000010543	101115893	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	-1.27586998164899	-1.31047238095529	-1.12545187633138	0.0138376189856491	0.0116486214192253	0.036153267558788
ENSOARG00000010575	101111953	SUOX	sulfite oxidase	-0.8274171964087	-1.34853809409408	-0.915492669995537	0.0454052286760656	0.000169348456009191	0.0143297508602226
ENSOARG00000010607	101116079	CCDC8	coiled-coil domain containing 8	-1.20478111778619	-1.70327341696794	-1.02651470854625	0.0117035784482138	0.000894251377479805	0.0460960200741133
ENSOARG00000010625	101103525	ABCG1	ATP binding cassette subfamily G member 1	-2.247123333419	-1.71667185040656	-2.01834441086389	0.00131660474376587	0.00694965341954642	0.00285718973778676
ENSOARG00000010631	101119612	DOK2	docking protein 2	-2.59566510086972	-2.9370365165165	-2.94016033825473	2.31473027982088e-05	1.36606600005297e-05	1.13101879996737e-05
ENSOARG00000010638	101104138	NLRC4	NLR family CARD domain containing 4	-1.30881688452533	-2.2070364958414	-1.24243440600796	0.0346051554333826	0.00158029690136135	0.0487424010211046
ENSOARG00000010647				2.30702782247864	1.56438277471723	2.46497909091694	0.000350147606167776	0.00723724910059635	0.000214236710540393
ENSOARG00000010726	443305	SELP	selectin P	5.06153720484676	3.5024782730604	5.01053581432467	0.000258974687770424	0.00258105467876927	0.000297186568531169
ENSOARG00000010736	101109266	GSDME	gasdermin E	2.02124021656709	1.26351968763563	1.92269536335945	0.000135740015050148	0.0069413072296057	0.000214236710540393
ENSOARG00000010763	101102086	MRVI1	murine retrovirus integration site 1 homolog	-1.49935014466226	-2.04101332403871	-1.5655530796065	0.0157284358282592	0.00223617864938358	0.0133489280451535
ENSOARG00000010770	101108664	STARD13	StAR related lipid transfer domain containing 13	1.84891200844709	1.39219515764909	1.81434252303073	0.000932672867237945	0.00793972231947043	0.00114247535938608
ENSOARG00000010812				-1.65248004782412	-2.3211812248178	-1.58918938168634	4.56232045963621e-05	4.03056603964852e-06	6.51118264022816e-05
