ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000012212	101103489	PRR11	proline rich 11	2.93083535754572	3.07745886272061	0.00151948477696932	0.00213813557957498
ENSOARG00000012238	101118235	RPUSD4	RNA pseudouridine synthase D4	-1.60713628301358	-1.8138418047701	0.00135985024556509	0.000510977692289574
ENSOARG00000012249	101118157	VPS35L	VPS35 endosomal protein sorting factor like	0.910368781335228	0.861825090307653	0.0139452994970602	0.0251455962981829
ENSOARG00000012306	101113968	FAM118B	family with sequence similarity 118 member B	-1.10506343736172	-1.17888599906826	0.00993148863255034	0.00543381857854081
ENSOARG00000012350	100137069	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	1.25356970858495	1.05699817016361	0.0138685006656823	0.0421281836667663
ENSOARG00000012381	101105355	SLC37A4	solute carrier family 37 member 4	1.01437161584815	1.09605639186697	0.0226719830821127	0.0118223926745066
ENSOARG00000012392	101122041	MRC2	mannose receptor C type 2	1.06944977141223	0.958935462827616	0.00261689806131469	0.00851136677792878
ENSOARG00000012403		FAM207A	family with sequence similarity 207 member A	-1.29193730577424	-1.21883793112074	0.0113736276156636	0.0169652825383525
ENSOARG00000012410	101106286	UNC45A	unc-45 myosin chaperone A	1.10668209560886	0.994991101948735	0.0201010833966084	0.0421094331020819
ENSOARG00000012416	101108687		UV radiation resistance associated	1.45108516010116	1.37037120454627	0.0203355847301442	0.0275005965581971
ENSOARG00000012418	101103993	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1	1.38292026788477	1.55851642474364	0.00948545063329222	0.00467971232641408
ENSOARG00000012432	101113204	FTSJ1	FtsJ RNA methyltransferase homolog 1	-1.37492881206816	-1.18819613890535	0.000626110495385386	0.00262220972748236
ENSOARG00000012451	101102764	GMPPB	GDP-mannose pyrophosphorylase B	-1.11194185470861	-1.08337692706145	0.005615859557081	0.00707653175836711
ENSOARG00000012455	101104973	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	1.51964986027767	1.91254060849835	0.00644972523981757	0.00170577857464721
ENSOARG00000012504	101105718	POFUT2	protein O-fucosyltransferase 2	-0.903796633135904	-0.982570769277376	0.0105091342240475	0.0036573270797413
ENSOARG00000012535	101113323	TNS3	tensin 3	1.42474649172625	1.59297501808132	0.00191929310558716	0.000870372681125998
ENSOARG00000012552	101122078	OSTF1	osteoclast stimulating factor 1	1.45697029474174	1.36641395298845	0.0048139631822196	0.00752044443938387
ENSOARG00000012638	101113982	BAZ1B	bromodomain adjacent to zinc finger domain 1B	1.20314632347165	1.22333159185701	0.0236877940183249	0.0211438465615136
ENSOARG00000012641	101112832		CMRF35-like molecule 8	1.85003783843683	1.3242944208285	0.00297934963338255	0.0225493267414044
ENSOARG00000012644				0.966763440113162	0.981086070400414	0.0141995494179516	0.0126642394032349
ENSOARG00000012785	101114475	DCPS	decapping enzyme, scavenger	-1.09842071183104	-1.23674398293979	0.00886609324323874	0.0027134291518402
ENSOARG00000012817	101104633	AP1S2	adaptor related protein complex 1 subunit sigma 2	1.20745857963921	0.99319043510375	0.010308897064892	0.0414094370092339
ENSOARG00000012857	101112629	PTPN4	protein tyrosine phosphatase, non-receptor type 4	-1.5175982464136	-1.50611698679403	0.0182353817751739	0.0194740993387021
ENSOARG00000012925	101111475	KLF6	Kruppel like factor 6	1.49299190579962	1.53616906147224	0.00306092659014393	0.00252354175858174
ENSOARG00000012931	101120209	UBE2D1	ubiquitin conjugating enzyme E2 D1	1.54856217780636	1.34814941942923	0.00708283960427392	0.015937194929896
ENSOARG00000012989		CABLES2	Cdk5 and Abl enzyme substrate 2	-1.37166441368016	-1.11689829815838	0.0111175219458493	0.0419774820850549
ENSOARG00000013000	101102050	MRPS9	mitochondrial ribosomal protein S9	-0.921493762112936	-1.03594411956238	0.0315049922876724	0.0103801707917384
ENSOARG00000013013	101114245	SYN1	synapsin I	2.11921513481155	2.62429107777383	0.000985414087257005	0.000254275128988423
ENSOARG00000013096	101102552	IL18R1	interleukin 18 receptor 1	-1.35230489815804	-1.69473145162168	0.0215941325744646	0.00559827277282397
ENSOARG00000013106	101108630	PGM5	phosphoglucomutase 5	1.39252586199434	1.37234109588635	0.0167109050378899	0.0180957172267224
ENSOARG00000013118	101119850	ACADS	acyl-CoA dehydrogenase short chain	1.15588682244339	1.21117238188046	0.017268760276557	0.0126911358723433
ENSOARG00000013129	101108887	LOC101108887	putative COBW domain-containing protein 7	1.30309050618692	1.44252804940442	0.0230624498468638	0.0136935329012789
ENSOARG00000013181	101123070	TMEM120B	transmembrane protein 120B	-1.43201552845024	-1.69971019090601	0.0424116245918657	0.0290047075693891
ENSOARG00000013189	101106399	TXLNG	taxilin gamma	-0.977727080321169	-1.20966633681222	0.0396153832594438	0.00697911677396125
ENSOARG00000013218				-1.12484567760244	-1.15327250337776	0.0387233269649448	0.0326683664265136
ENSOARG00000013256	101121562	ERI2	ERI1 exoribonuclease family member 2	1.82542064542007	2.02250133506332	0.0161955890355707	0.0113713461984877
ENSOARG00000013303	101117143	VLDLR	very low density lipoprotein receptor	1.60079926442657	1.63186645958935	0.00977190791358796	0.00880149817507099
ENSOARG00000013316	100302353	PUS1	pseudouridine synthase 1	-1.17046758900028	-1.20374600224544	0.0167391076982052	0.0139390191996415
ENSOARG00000013400	101106067	EIF5B	eukaryotic translation initiation factor 5B	-1.02640194439486	-1.20693693312806	0.00436102407858267	0.000691217446646091
ENSOARG00000013446	101114040	SFMBT2	Scm like with four mbt domains 2	-1.2021269335899	-1.63800525759441	0.043511740906719	0.00650261302541767
ENSOARG00000013461	101115161	ITPK1	inositol-tetrakisphosphate 1-kinase	-1.03327266783177	-0.953883645759333	0.0243777403099897	0.0437060460772887
ENSOARG00000013488	101119557	THOP1	thimet oligopeptidase 1	-1.18196927434958	-1.24288502204666	0.0114092134646372	0.00733660983606134
ENSOARG00000013536	101113015	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)	-0.992066604913954	-1.04285550183723	0.0168834635833156	0.0106949554517063
ENSOARG00000013580	100233164	CNGA3	cyclic nucleotide gated channel alpha 3	3.77342601063932	3.75637303516896	0.0146641357335185	0.0143654028181517
ENSOARG00000013584	100135442	SRSF3	serine and arginine rich splicing factor 3	-1.01603612083295	-0.838083017892007	0.00634658002682156	0.0463973709747949
ENSOARG00000013592	101122751	LYRM1	LYR motif containing 1	1.37534493576626	1.81298355229034	0.0305143876365444	0.00774133423521449
ENSOARG00000013642		PDE12	phosphodiesterase 12	1.57050877638971	1.55945711433191	0.0430546778425207	0.0432279376516528
ENSOARG00000013649		VOPP1	VOPP1, WBP1/VOPP1 family member	-1.51307430691989	-1.19562845307111	0.00431673183349387	0.0216457847733376
ENSOARG00000013683	101120243	LMNB2	lamin B2	-1.07119187075689	-1.09597894935884	0.0127675327498344	0.0100730471153605
ENSOARG00000013715	101114117	E2F5	E2F transcription factor 5	-1.32377607489259	-1.32674991907065	0.0014928995943594	0.00140943166263629
ENSOARG00000013745	101109049	FADS1	fatty acid desaturase 1	-2.01181883035018	-1.85504615852979	0.00509296553827797	0.00844271450459844
ENSOARG00000013845	101108615	FADS2	fatty acid desaturase 2	-1.45723877272953	-1.45323027817679	0.0422343852429884	0.0422514003423919
ENSOARG00000013850		CRB2	crumbs 2, cell polarity complex component	-1.54753245514148	-1.61999010197742	0.0177697592838271	0.0123482561088042
ENSOARG00000013872	101120605	C12orf43	chromosome 17 open reading frame, human C12orf43	-1.29064529995487	-1.20621597255896	0.00471706021424927	0.00850881531951881
ENSOARG00000013880	101106862	AIDA	axin interactor, dorsalization associated	1.47001704133131	1.42289772760868	0.0127687590338423	0.0146334526502565
ENSOARG00000013891	101122294		membrane cofactor protein	-1.37558471444937	-1.25117820017231	0.0143192519816976	0.0254741796253835
ENSOARG00000013921	100381250	UBE2B	ubiquitin conjugating enzyme E2 B	1.1692499980543	1.29002261356466	0.00668248756796638	0.00287516666762661
ENSOARG00000013925	101110631	GNG5	G protein subunit gamma 5	1.33470179174066	1.20144417973427	0.00721048203600576	0.0145641815904266
ENSOARG00000013977	101110888	SSX2IP	SSX family member 2 interacting protein	-1.99405342062379	-1.81514364707487	0.00217691914495732	0.00420142958427894
ENSOARG00000014089	101114367	MRPL15	mitochondrial ribosomal protein L15	-1.11970552726283	-1.04856216795185	0.0096996599217168	0.0172081059464172
ENSOARG00000014105				-1.30937378512953	-1.47589742499261	0.0420526830032152	0.0209713415560248
ENSOARG00000014175	101118929	SLC9A7	solute carrier family 9 member A7	2.04091956934132	2.11089417628842	0.0335989891892517	0.0290017731159177
ENSOARG00000014199	100125354	PLIN2	perilipin 2	1.97458972970689	1.49130003550986	0.000283267595803459	0.00230516117016799
ENSOARG00000014209	101110675	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	1.51065799102981	1.37611909207151	0.00977087650341526	0.0181085931657449
ENSOARG00000014221	101117563	TENM1	teneurin transmembrane protein 1	-1.63341356632152	-1.54971763101169	0.00652132867672966	0.00920904737497311
ENSOARG00000014222	101123605	DENND4C	DENN domain containing 4C	1.1717480029085	1.57141656807563	0.0231336391532061	0.00367114076176442
ENSOARG00000014240	100303607	CTGF	connective tissue growth factor	1.80174989966684	1.72894127023573	0.0169749111240365	0.0204295439349814
ENSOARG00000014247				-1.49347582195844	-1.85640340274954	0.0461711904413315	0.0143104062036444
ENSOARG00000014254	101111926	RPUSD1	RNA pseudouridylate synthase domain-containing protein 1	-1.61585549425886	-1.53058388256796	0.00996315014766996	0.0123382522466045
ENSOARG00000014293	101113372	BCL10	B cell CLL/lymphoma 10	1.07480102706417	0.930905684454748	0.00576964695287591	0.0232643131685141
ENSOARG00000014344	101107982	SPATA2L	spermatogenesis associated 2 like	-1.90559950382827	-1.36118078349274	0.00137643066747214	0.0132371463332528
ENSOARG00000014347	101106288	H1FX	histone H1x	1.14245548477089	1.37194794751297	0.0365485322172777	0.0120762636774086
ENSOARG00000014356	101115835	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1	1.44121718576179	1.32161001886652	0.00790367785762042	0.0131130674428561
ENSOARG00000014364	100272002	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	1.83259521672719	1.50395634668469	0.00011334577587174	0.000592377056014519
ENSOARG00000014399	101122891	TCHP	trichoplein keratin filament binding	-1.12422165991837	-1.04808888020991	0.0182353817751739	0.0305239961787365
ENSOARG00000014417	101116497	PROSER2	proline and serine rich 2	-1.95020316600023	-1.38602474162774	0.00246365647820417	0.0205228759770429
ENSOARG00000014423	101122097	DAB2IP	DAB2 interacting protein	1.43980987170632	1.39018347460607	0.0168378962955698	0.0197670094866108
ENSOARG00000014445	101119359	ORAI2	ORAI calcium release-activated calcium modulator 2	1.12533909999065	1.14104394842366	0.0220818787989789	0.0211098382684378
ENSOARG00000014452	101112350	EFL1	elongation factor like GTPase 1	-1.11532212146553	-1.01239460078747	0.011350744558656	0.0252638702753599
ENSOARG00000014492	101111482		VPS9 domain containing 1	-1.06150973541934	-1.11523061206626	0.0155679164034115	0.00995705714227681
ENSOARG00000014543	101123663	FASTKD3	FAST kinase domains 3	-1.06461400198011	-1.20296211135048	0.0387233269649448	0.0182079878785889
ENSOARG00000014614				2.12686439765771	1.84523706039951	0.00383008375457307	0.00917953290013412
ENSOARG00000014617	101115317	PPP4R4	protein phosphatase 4 regulatory subunit 4	1.55046715005106	1.96650203729707	0.0462817148488641	0.0166083435092966
ENSOARG00000014639				2.43500418135701	2.48431411354629	0.00719676389590155	0.00724706259290423
ENSOARG00000014650		HGH1	HGH1 homolog	-1.04585024973975	-1.14319803085682	0.0233867862573642	0.0110968454416808
ENSOARG00000014668	101120662	ZFYVE16	zinc finger FYVE-type containing 16	1.44590936305767	1.51894390054923	0.00672479920764627	0.00488844786074464
ENSOARG00000014685	101107449	SLC2A12	solute carrier family 2 member 12	-2.8800484669241	-2.75498720181069	0.000548460257219283	0.000822135421001733
ENSOARG00000014736	101112252	SPIRE2	spire type actin nucleation factor 2	-1.37237740093853	-1.15689432106195	0.00705351651169553	0.024086191431832
ENSOARG00000014780	101112642	KIAA1324L	KIAA1324 like	-1.14915655583387	-1.1640304801867	0.0185383326362605	0.0165364887816426
ENSOARG00000014785	101108851	IDI1	isopentenyl-diphosphate Delta-isomerase 1	-0.86150148275696	-1.07182705703342	0.0465240722978434	0.00524744021195406
ENSOARG00000014793		CCNI2	cyclin I family member 2	-1.37774430467817	-1.15920062978785	0.015024768389562	0.048351253665134
ENSOARG00000014824	101113796	MVK	mevalonate kinase	-1.40172309606565	-1.42872272014147	0.00112369083566365	0.000973121178716168
ENSOARG00000014847	100169936	FBXL21	F-box and leucine rich repeat protein 21	-1.81279892953264	-1.48098194001898	0.00351681346911066	0.0139695672155416
ENSOARG00000014883		ZFAND1	zinc finger AN1-type containing 1	-1.05357264667111	-1.08123886807465	0.037060387633804	0.0328434289638283
ENSOARG00000014910	101115183	ELP3	elongator acetyltransferase complex subunit 3	-0.968324922648414	-1.15304001398608	0.00949352771173811	0.00136500297062734
ENSOARG00000014965	100642181		steroid 5 alpha-reductase 1	1.23364193229136	1.23210544104429	0.00968041443041859	0.0101469495163634
ENSOARG00000015016	101111667	CMTM8	CKLF-like MARVEL transmembrane domain-containing protein 8	2.1998337290219	1.38045130252818	0.00179063513196541	0.0305774891335066
ENSOARG00000015042	101106968	NSUN2	NOP2/Sun RNA methyltransferase family member 2	-0.95137894379668	-1.00860736144532	0.0147251109218998	0.00780255886027291
ENSOARG00000015060	101113798	MINAR1	membrane integral NOTCH2 associated receptor 1	-2.1168844133325	-2.4870409868353	0.0294501524508475	0.0141047883169943
ENSOARG00000015063	101104187	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	-1.3284432738824	-1.28262258011569	0.00363322005802307	0.00474720561043169
ENSOARG00000015127	101122785	SLC22A5	solute carrier family 22 member 5	-1.45862377038795	-1.26670967787412	0.0121884205868295	0.029455258874376
ENSOARG00000015211	101117696	KIF18A	kinesin family member 18A	2.7207147477429	2.30407419950038	0.0117889632757577	0.0224035453687464
ENSOARG00000015241	101106722	LOC101106722	high mobility group protein B2	1.77391674797047	1.89347531067217	0.0182353817751739	0.0164990758652713
ENSOARG00000015245	101106698	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	-1.30301920473855	-1.1112150090632	0.00227415225900846	0.00940718733318956
ENSOARG00000015246	101121070	ANKRD44	ankyrin repeat domain 44	1.5044796131742	1.80829463865094	0.0474697551313319	0.0213081050198594
ENSOARG00000015267	101115652	MCAM	melanoma cell adhesion molecule	2.52514244172686	2.6106291878704	0.00112050175113379	0.000887969226526962
ENSOARG00000015279	101108770	GAS8	growth arrest specific 8	-1.10967286334053	-1.11362113517157	0.0100977420461331	0.00960795654475206
ENSOARG00000015287	101114728	TOP3B	DNA topoisomerase III beta	-0.93772790657001	-0.999202810572683	0.0324383106047913	0.0180458761864151
ENSOARG00000015307	101122150	PANK1	pantothenate kinase 1	-1.29531176795498	-1.61664036992963	0.022487771539324	0.00516049989880007
ENSOARG00000015309	101122118	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	-1.12408348673765	-0.912505687170695	0.00506567574312646	0.0357793401843045
ENSOARG00000015317	101118200	SRR	serine racemase	-1.38629974201496	-1.34515943793452	0.00309136305848749	0.00403615854912887
ENSOARG00000015318	101117637	P2RY14	purinergic receptor P2Y14	5.15928656770179	4.57732785509846	0.0273656303031278	0.0483571463459872
ENSOARG00000015442	101120006	MPP7	membrane palmitoylated protein 7	1.24538654003819	1.48322368333005	0.0312986153026343	0.0135595696092036
ENSOARG00000015447	101107823	IMPDH2	inosine monophosphate dehydrogenase 2	-1.01427344213773	-1.00858602105918	0.0226841531333428	0.0234682543673289
ENSOARG00000015482	101102161	NEK7	NIMA related kinase 7	1.35319403699943	1.07080578331983	0.00928720895400644	0.041605183447361
ENSOARG00000015486	101109815	AXIN2	axin 2	3.15692093125459	3.2828009142195	0.00372238329452331	0.00221212953390996
ENSOARG00000015494	101114498	CLCN3	chloride voltage-gated channel 3	-1.00151181135833	-1.04795302534633	0.0156726015494206	0.0100559331273164
ENSOARG00000015558	101114748	TBC1D5	TBC1 domain family member 5	1.0048013714365	1.14856134341742	0.0120212422735617	0.00338145360794293
ENSOARG00000015706	101113784	MYLK3	myosin light chain kinase 3	-1.58423153359155	-1.39342421003412	0.021298542941067	0.0410115071956347
ENSOARG00000015726	101102317	DCSTAMP	dendrocyte expressed seven transmembrane protein	3.80193081128826	2.97508526594068	0.0181920244777565	0.043890178778206
ENSOARG00000015750	101114313	ZBTB9	zinc finger and BTB domain containing 9	-1.32319403333636	-1.4992555577345	0.0111502541227202	0.00475261861431236
ENSOARG00000015785	100188913	CYFIP1	cytoplasmic FMR1 interacting protein 1	1.0286182639927	1.03842914321199	0.0048139631822196	0.00420131915124658
ENSOARG00000015786	101116726	ICAM5	intercellular adhesion molecule 5	-1.61009979995214	-1.32407661692626	0.0018313603284032	0.00767242626543645
ENSOARG00000015791	101103266	EXOC3	exocyst complex component 3	-1.03644656641542	-1.02069081398143	0.00326822881423816	0.00376727806405533
ENSOARG00000015805	101108523	WDR6	WD repeat domain 6	-1.39679912395373	-1.2346618446379	0.000777854952415464	0.00241536998739913
ENSOARG00000015855	100192315	DEGS1	delta 4-desaturase, sphingolipid 1	1.14737792683291	1.09733318872601	0.00765949995378187	0.0109541797138765
ENSOARG00000015947	101120526	GLRX5	glutaredoxin 5	1.96913882870926	1.97492470974337	0.000803720927240509	0.000819004875158341
ENSOARG00000015972	101119491	ACBD5	acyl-CoA binding domain containing 5	1.74065565312963	1.61440563773214	0.0109612387747504	0.0175715827840919
ENSOARG00000016028	101106631	CLASP2	cytoplasmic linker associated protein 2	1.4588266414224	1.30717879949432	0.000408764764266376	0.000989566409659814
ENSOARG00000016031	101104300	SGO2	shugoshin 2	1.42331700619817	1.72202956186299	0.00643510099444528	0.00222601255850392
ENSOARG00000016120				2.0136408551447	2.40389028560653	0.0214709772710469	0.0122623020338013
ENSOARG00000016123	101102788	SEPT6	septin 6	1.51752316415796	1.87485320041258	0.0058504664143632	0.00156792435618913
ENSOARG00000016141	101108217	C7orf57	chromosome 4 open reading frame, human C7orf57	1.58815324960061	1.28016312733189	0.00462988554771843	0.0172469090263973
ENSOARG00000016144	101120647	LPIN1	lipin 1	-1.87204981898273	-1.66121270223343	0.000980074928328299	0.00283665960620022
ENSOARG00000016167	101103298	NKRF	NFKB repressing factor	-1.30536609911551	-1.24213928852452	0.0111170121315748	0.0162520087641501
ENSOARG00000016178	101105161	NREP	neuronal regeneration related protein	2.43188932875941	2.40645354885889	0.0139571627471492	0.0165364887816426
ENSOARG00000016246	101110650	MFSD6	major facilitator superfamily domain containing 6	1.03711217512625	1.42010976923236	0.0353351362291637	0.0039687518867108
ENSOARG00000016291	101106586		RNA polymerase III subunit G	-2.00505790292714	-1.5816069033047	0.00269953134594	0.0128757446663733
ENSOARG00000016302	101106080	TRIM36	tripartite motif containing 36	1.74584158170445	1.52028698418877	0.00399056188134597	0.00978195700761634
ENSOARG00000016386	101118272	ATG4D	autophagy related 4D cysteine peptidase	0.93163424463636	0.902451685388383	0.0222644042208488	0.0292633591293432
ENSOARG00000016427	101107476	STAC	SH3 and cysteine rich domain	2.6802088038046	2.91026977464825	0.00324646312272513	0.00223267484237801
ENSOARG00000016479	101103886	PRR13	proline rich 13	1.31182701026246	1.225989323546	0.0065317922474041	0.0105685351388493
ENSOARG00000016487	101109463	NARF	nuclear prelamin A recognition factor	1.04815636651153	1.0082289643394	0.0139452994970602	0.0193910895823111
ENSOARG00000016517	101112869	NUBP2	nucleotide binding protein 2	-1.11878523851602	-1.18063157990421	0.027824456827134	0.0183920714705236
ENSOARG00000016533	101110058	USP53	ubiquitin specific peptidase 53	-1.27586527533063	-1.262187048484	0.00579055144886496	0.00633126332269095
ENSOARG00000016604	101114727	GLT1D1	glycosyltransferase 1 domain containing 1	-1.37662455071227	-1.39970639998236	0.0136613078109676	0.0123362068198969
ENSOARG00000016628	101118528	CDKN2D	cyclin dependent kinase inhibitor 2D	2.05987448317278	2.02023103263242	0.00705351651169553	0.00740578506546087
ENSOARG00000016671	101102192	CPEB3	cytoplasmic polyadenylation element binding protein 3	1.71882568985554	1.89151710839062	0.0239581040620053	0.0152431167510511
ENSOARG00000016672	101121247	ATXN7L3B	ataxin 7 like 3B	-1.05481208756215	-1.15195918064419	0.0445449876702819	0.0246494425063855
ENSOARG00000016753	101108670	BCAS3	BCAS3, microtubule associated cell migration factor	0.964366416725395	1.04685653556281	0.0360719425698892	0.019658553813691
ENSOARG00000016756				-1.14347456152433	-1.07790714213204	0.0173372536933634	0.0266639598242848
ENSOARG00000016778	101109360	POLK	DNA polymerase kappa	1.30469919368294	1.42533129062454	0.0126788514255636	0.00747546036077885
ENSOARG00000016803	101105308	WDR44	WD repeat domain 44	1.09722803234512	1.30823891838581	0.0258193182729998	0.00786393583944736
ENSOARG00000016815				-1.71970234710318	-1.92914422542418	0.0249429753126852	0.013573445022233
ENSOARG00000016826	101106406	KLHL13	kelch like family member 13	-1.00135596309908	-1.1440636281694	0.0423825478700843	0.0156086593737137
ENSOARG00000016884	101123461	CACNA1I	calcium voltage-gated channel subunit alpha1 I	1.88120272438171	2.14296015530623	0.0184267186850628	0.0126908873833163
ENSOARG00000016886	101113667	CHST11	carbohydrate sulfotransferase 11	-1.22400316485828	-1.13089996810724	0.016588225262503	0.0292447354124652
ENSOARG00000016898	101113925	SLC41A2	solute carrier family 41 member 2	1.40512834197657	1.70067327161413	0.0470771629249921	0.0189051215151115
ENSOARG00000016961	101123497	ANKRD50	ankyrin repeat domain 50	-1.19890997749411	-1.37202092601445	0.00616539913351861	0.00176190670022711
ENSOARG00000016965		C12orf45	chromosome 12 open reading frame 45	-1.52398276078573	-1.32537496596402	0.00554112980083973	0.0137461596378642
ENSOARG00000016996	101113978	OGA	O-GlcNAcase	1.38054218649534	1.45582488079255	0.0132391511775948	0.00990539056432824
ENSOARG00000016999	101107316	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	-1.31323852560927	-1.14111747021267	0.000195143605728119	0.000953113245348072
ENSOARG00000017034	101119390	STK17A	serine/threonine kinase 17a	1.49413677859667	1.3868355932075	0.0108996969331501	0.0160817965595369
ENSOARG00000017059	101112621	TBL3	transducin beta like 3	-1.25303233838308	-1.38840055454141	0.00523859608492474	0.00210014780604272
ENSOARG00000017070	101107314	BLOC1S5	biogenesis of lysosomal organelles complex 1 subunit 5	1.12517455910535	1.07835283286834	0.0259066766703721	0.0359074516766956
ENSOARG00000017119	101112650	AP3B1	adaptor related protein complex 3 subunit beta 1	0.986446422161994	1.05179589623482	0.00896979462064345	0.00452558116496625
ENSOARG00000017167	101108314	ARSB	arylsulfatase B	1.22265954849891	1.10375738745924	0.000635421555628403	0.00186320417013787
ENSOARG00000017170				-1.22654856850937	-1.29188966462188	0.00597754471932395	0.00376473966609132
ENSOARG00000017191	101101937	SIPA1	signal-induced proliferation-associated 1	1.43867223545709	1.40413993690853	0.0241608914545964	0.0286977906139682
ENSOARG00000017238	101107854	TNRC6B	trinucleotide repeat containing 6B	0.925663978198695	1.07469199519391	0.0377106302611351	0.0106837285600838
ENSOARG00000017242	101114095	ACVRL1	activin A receptor like type 1	3.77710999679588	4.49495724307957	0.00855003379823282	0.00537306061599546
ENSOARG00000017296	101103312	NUAK1	NUAK family kinase 1	2.67936654873242	3.0995355850237	0.0155031648609325	0.00812331051777557
ENSOARG00000017304	101109613	SPATA9	spermatogenesis associated 9	2.55855445192909	3.0433674875489	0.00173059134240596	0.00108221404729148
ENSOARG00000017317	101119559	CARM1	coactivator associated arginine methyltransferase 1	-0.923456405606299	-0.972372735922368	0.0384153743559474	0.0238508501269048
ENSOARG00000017386	101118230	TRIM27	tripartite motif containing 27	-1.14057424456777	-0.987472397691796	0.00790630363468124	0.0269555688430091
ENSOARG00000017389	101104785	HVCN1	hydrogen voltage gated channel 1	2.76767904850186	3.09966131472729	0.00345606748620807	0.00199435402636572
ENSOARG00000017397	101123556	RHOBTB3	Rho related BTB domain containing 3	1.82904378552614	1.98974451165619	0.00319625098556616	0.00177816352258126
ENSOARG00000017452	101105801	MTX2	metaxin 2	1.2755105889126	1.27459014822442	0.0347513756185388	0.0345650264888135
ENSOARG00000017477	101113583	CYP51A1	lanosterol 14-alpha demethylase	-0.948958199429021	-1.02610545514731	0.0419027483762157	0.0215273536927571
ENSOARG00000017489	101114977	AACS	acetoacetyl-CoA synthetase	-1.34358549718853	-1.15854871931789	0.0129331004253778	0.0335590293138086
ENSOARG00000017530	101115460	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	-1.41189607599763	-1.04219549097775	0.00284215072939089	0.0319109653470049
ENSOARG00000017585	101109883	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	2.18884275645857	2.16627117784674	0.000445231752041669	0.000507019552845972
ENSOARG00000017641	101103793	BMPR2	Ovis aries bone morphogenetic protein receptor type 2 (BMPR2), mRNA.	1.18263722448912	1.35061423354634	0.0356597520795756	0.0167134999813306
ENSOARG00000017709	443364	CAST	calpastatin	1.15961284252176	1.09146444445733	0.014137299927608	0.0217416125806447
ENSOARG00000017741	101106485	RBBP6	RB binding protein 6, ubiquitin ligase	1.52866706893636	1.32348576652243	0.021042980200325	0.0409499715489398
ENSOARG00000017752	101111179	AMIGO2	adhesion molecule with Ig like domain 2	2.15505196384625	2.18684863009981	0.0142747087055719	0.0136016628358919
ENSOARG00000017799	101117071	KANK2	KN motif and ankyrin repeat domains 2	1.78243666248323	1.74732582438864	0.00598117791604782	0.00662541508192842
ENSOARG00000017906	101113687	PCYT2	phosphate cytidylyltransferase 2, ethanolamine	-1.21586549969788	-1.23030365321454	0.00629920817968128	0.00545815458177051
ENSOARG00000017944	101116481		serine/arginine-rich splicing factor 6 pseudogene	-1.12774949573153	-0.998623406186445	0.00280884787225184	0.0100858475314888
ENSOARG00000018000	101121465	ZKSCAN8	zinc finger with KRAB and SCAN domains 8	-1.77866525393022	-1.80071924080801	0.00682307396977503	0.00656441499108476
ENSOARG00000018016	101102694	PASK	PAS domain containing serine/threonine kinase	-1.48492797334093	-1.11385126614452	0.0031164059666587	0.025484201129165
ENSOARG00000018039		BMP7	bone morphogenetic protein 7	2.05272749852262	2.55231525395538	0.0163090107793518	0.0058778905834329
ENSOARG00000018040	101107264	NCOA1	nuclear receptor coactivator 1	2.03873093511601	2.05219032688292	0.00469722731699305	0.00448434742603591
ENSOARG00000018046	101113623	CAPRIN1	cell cycle associated protein 1	-0.935153824961387	-0.898594335895859	0.0258223569488882	0.0366409475256905
ENSOARG00000018082	101103350	SART3	spliceosome associated factor 3, U4/U6 recycling protein	-0.874237708078441	-0.971432602422043	0.0266264088896662	0.00831251169426481
ENSOARG00000018123	101119487	SARM1	sterile alpha and TIR motif containing 1	1.41166705949486	1.43194738755288	0.0258330677940931	0.0239744287634165
ENSOARG00000018127	101108467	DNAJC27	DnaJ heat shock protein family (Hsp40) member C27	-1.73692125489521	-1.66042074632404	0.0103932965534052	0.0112552651821371
ENSOARG00000018177		UBC	ubiquitin C	1.38140611393121	1.00909200329187	0.00119630611818124	0.0172469090263973
ENSOARG00000018201	100302307	ARFIP2	ADP ribosylation factor interacting protein 2	-1.00589562825554	-0.877219963806703	0.0132607181987736	0.0456869072640203
